"bigram","rep_n","dem_n","rep_not","dem_not","ps_pvalue","compare","which","sig","app_ratio","R_ratio","D_ratio"
"aa docket",314,197,477804,834768,1.03041645309986e-31,0.000420803607854074,"R",1,0.000420803607854074,0.0656741641184812,0.0235938033330738
"aa flight",0,56,478118,834909,3.31345420963131e-08,-6.70686795254891e-05,"D",1,-6.70686795254891e-05,0,0.00670686795254891
"aa receive",47,46,478071,834919,0.00646189339150153,4.32099631785863e-05,"R",1,4.32099631785863e-05,0.00983020927888095,0.00550921296102232
"ab receive",27,27,478091,834938,0.0531408693876982,2.41347302351194e-05,"R",0,2.41347302351194e-05,0.00564714150063373,0.0032336684771218
"aba standing",25,17,478093,834948,0.0031519933206716,3.19282123721381e-05,"R",1,3.19282123721381e-05,0.00522883472280901,0.0020360134855952
"ability create",27,14,478091,834951,0.000172914739864537,3.97042451249651e-05,"R",1,3.97042451249651e-05,0.00564714150063373,0.00167671698813723
"ability federal",6,25,478112,834940,0.0739274130704213,-1.73921714534231e-05,"D",0,-1.73921714534231e-05,0.00125492033347416,0.00299413747881648
"ability pay",21,14,478097,834951,0.00643931672473937,2.71550417902234e-05,"R",1,2.71550417902234e-05,0.00439222116715957,0.00167671698813723
"ability protect",4,26,478114,834939,0.0147970347840894,-2.27728942231969e-05,"D",1,-2.27728942231969e-05,0.000836613555649442,0.00311390297796914
"ability provide",13,23,478105,834942,0.999999999984868,-3.56124246504721e-07,"D",0,-3.56124246504721e-07,0.00271899405586069,0.00275460648051116
"ability respond",3,21,478115,834944,0.0262554676622653,-1.88761531546876e-05,"D",1,-1.88761531546876e-05,0.000627460166737082,0.00251507548220584
"abilityone program",14,23,478104,834942,0.992473395175484,1.73540964261888e-06,"R",0,1.73540964261888e-06,0.00292814744477305,0.00275460648051116
"abortion service",5,24,478113,834941,0.050874735367595,-1.82860503510202e-05,"D",0,-1.82860503510202e-05,0.0010457669445618,0.00287437197966382
"abraham lincoln",28,48,478090,834917,0.999999999990001,1.07550930218459e-06,"R",0,1.07550930218459e-06,0.0058562948895461,0.00574874395932764
"absence quorum",527,769,477591,834196,0.00161244824909229,0.000181241671084192,"R",1,0.000181241671084192,0.110223835956814,0.0920996688483949
"absent announce",0,75,478118,834890,1.24650840440416e-10,-8.98241243644943e-05,"D",1,-8.98241243644943e-05,0,0.00898241243644943
"absent senator",130,9,477988,834956,5.79324766529014e-44,0.000261120510662329,"R",1,0.000261120510662329,0.0271899405586069,0.00107788949237393
"absent vote",6,27,478112,834938,0.045985954370432,-1.97874814364763e-05,"D",1,-1.97874814364763e-05,0.00125492033347416,0.0032336684771218
"absolutely essential",15,23,478103,834942,0.823001004148937,3.82694353174249e-06,"R",0,3.82694353174249e-06,0.00313730083368541,0.00275460648051116
"abuse neglect",14,66,478104,834899,0.000675615325970003,-4.97637549930245e-05,"D",1,-4.97637549930245e-05,0.00292814744477305,0.0079045229440755
"abuse prevention",10,29,478108,834936,0.218130036554067,-1.38166558630351e-05,"D",0,-1.38166558630351e-05,0.00209153388912361,0.00347319947542711
"abusive tax",4,43,478114,834922,0.000131446179914714,-4.3133029079149e-05,"D",1,-4.3133029079149e-05,0.000836613555649442,0.00514991646356434
"ac receive",21,38,478097,834927,0.99999999999459,-1.58867800641474e-06,"D",0,-1.58867800641474e-06,0.00439222116715957,0.00455108896780105
"academic achievement",41,48,478077,834917,0.0745916087854315,2.82654498607915e-05,"R",0,2.82654498607915e-05,0.00857528894540678,0.00574874395932764
"academic excellence",23,24,478095,834941,0.102497726000434,1.93615596532047e-05,"R",0,1.93615596532047e-05,0.00481052794498429,0.00287437197966382
"academy art",4,23,478114,834942,0.0329862173473181,-1.91799292486172e-05,"D",1,-1.91799292486172e-05,0.000836613555649442,0.00275460648051116
"academy science",21,52,478097,834913,0.216518992031168,-1.8355847887787e-05,"D",0,-1.8355847887787e-05,0.00439222116715957,0.00622780595593827
"access affordable",9,30,478109,834935,0.117746798601165,-1.71058447436853e-05,"D",0,-1.71058447436853e-05,0.00188238050021125,0.00359296497457977
"access capital",30,26,478088,834939,0.011411386311172,3.16069868940168e-05,"R",1,3.16069868940168e-05,0.00627460166737082,0.00311390297796914
"access care",30,25,478088,834940,0.00793615754377852,3.28046418855434e-05,"R",1,3.28046418855434e-05,0.00627460166737082,0.00299413747881648
"access education",3,27,478115,834938,0.0048513536390296,-2.60620831038471e-05,"D",1,-2.60620831038471e-05,0.000627460166737082,0.0032336684771218
"access federal",9,30,478109,834935,0.117746798601165,-1.71058447436853e-05,"D",0,-1.71058447436853e-05,0.00188238050021125,0.00359296497457977
"access health",17,80,478101,834885,0.00016974558408397,-6.0256323207026e-05,"D",1,-6.0256323207026e-05,0.00355560761151013,0.00958123993221273
"access information",17,55,478101,834910,0.0327680309795561,-3.03149484188612e-05,"D",1,-3.03149484188612e-05,0.00355560761151013,0.00658710245339625
"access internet",14,25,478104,834940,0.999999999994554,-6.59900340434299e-07,"D",0,-6.59900340434299e-07,0.00292814744477305,0.00299413747881648
"access market",13,21,478105,834944,0.965894604175231,2.03918573654846e-06,"R",0,2.03918573654846e-06,0.00271899405586069,0.00251507548220584
"access quality",21,38,478097,834927,0.99999999999459,-1.58867800641474e-06,"D",0,-1.58867800641474e-06,0.00439222116715957,0.00455108896780105
"access safe",6,30,478112,834935,0.0220832538171285,-2.33804464110561e-05,"D",1,-2.33804464110561e-05,0.00125492033347416,0.00359296497457977
"access service",15,64,478103,834901,0.00192367897970667,-4.52769111208477e-05,"D",1,-4.52769111208477e-05,0.00313730083368541,0.00766499194577018
"accessory therefor",0,24,478118,834941,0.00047394563692805,-2.87437197966382e-05,"D",1,-2.87437197966382e-05,0,0.00287437197966382
"accompany paper",37,48,478081,834917,0.210909108332144,1.9899314304297e-05,"R",0,1.9899314304297e-05,0.00773867538975734,0.00574874395932764
"accomplish goal",36,52,478082,834913,0.443671478353674,1.30171604490671e-05,"R",0,1.30171604490671e-05,0.00752952200084498,0.00622780595593827
"accomplishment boy",71,0,478047,834965,3.34047755464946e-28,0.000148498906127776,"R",1,0.000148498906127776,0.0148498906127776,0
"accomplishment tuesday",1,57,478117,834908,8.61366972285376e-08,-6.61748006278921e-05,"D",1,-6.61748006278921e-05,0.000209153388912361,0.00682663345170157
"accord american",7,27,478111,834938,0.0819784879389478,-1.76959475473527e-05,"D",0,-1.76959475473527e-05,0.00146407372238652,0.0032336684771218
"accord center",7,26,478111,834939,0.102312016666356,-1.64982925558261e-05,"D",0,-1.64982925558261e-05,0.00146407372238652,0.00311390297796914
"accord congressional",56,29,478062,834936,3.12873975379618e-08,8.23939030366508e-05,"R",1,8.23939030366508e-05,0.0117125897790922,0.00347319947542711
"accord department",27,37,478091,834928,0.406328005264558,1.21581803198535e-05,"R",0,1.21581803198535e-05,0.00564714150063373,0.00443132346864839
"accord national",19,35,478099,834930,0.963365192328014,-2.17878081008218e-06,"D",0,-2.17878081008218e-06,0.00397391438933485,0.00419179247034307
"accord president",31,2,478087,834963,2.27657464433645e-11,6.24422405797786e-05,"R",1,6.24422405797786e-05,0.00648375505628318,0.000239530998305318
"accord recent",31,42,478087,834923,0.340410982375006,1.45360409187149e-05,"R",0,1.45360409187149e-05,0.00648375505628318,0.00503015096441168
"accord report",31,35,478087,834930,0.0979918834065716,2.29196258594011e-05,"R",0,2.29196258594011e-05,0.00648375505628318,0.00419179247034307
"accordance applicable",7,41,478111,834924,0.00276241535911205,-3.4463117428725e-05,"D",1,-3.4463117428725e-05,0.00146407372238652,0.00491038546525902
"accordance paragraph",9,47,478109,834918,0.00249011695808996,-3.74659795996373e-05,"D",1,-3.74659795996373e-05,0.00188238050021125,0.00562897846017498
"accordance provision",7,33,478111,834932,0.0202613258505251,-2.48818774965123e-05,"D",1,-2.48818774965123e-05,0.00146407372238652,0.00395226147203775
"accordance regulation",6,24,478112,834941,0.0932605849733469,-1.61945164618966e-05,"D",0,-1.61945164618966e-05,0.00125492033347416,0.00287437197966382
"accordance requirement",2,36,478116,834929,0.000132403865577817,-3.89325119167101e-05,"D",1,-3.89325119167101e-05,0.000418306777824721,0.00431155796949573
"accordance rule",60,21,478058,834944,4.23607477952358e-12,0.000100341278525358,"R",1,0.000100341278525358,0.0125492033347416,0.00251507548220584
"accordance section",34,203,478084,834762,2.69403171526682e-12,-0.000172011811049695,"D",1,-0.000172011811049695,0.00711121522302026,0.0243123963279898
"accordance subparagraph",3,27,478115,834938,0.0048513536390296,-2.60620831038471e-05,"D",1,-2.60620831038471e-05,0.000627460166737082,0.0032336684771218
"accordance subsection",20,80,478098,834885,0.000943165165639435,-5.39817215396552e-05,"D",1,-5.39817215396552e-05,0.00418306777824721,0.00958123993221273
"account amount",10,28,478108,834937,0.260649752994435,-1.26190008715085e-05,"D",0,-1.26190008715085e-05,0.00209153388912361,0.00335343397627445
"account establish",7,60,478111,834905,1.78756782929278e-05,-5.72185622677302e-05,"D",1,-5.72185622677302e-05,0.00146407372238652,0.00718592994915955
"account fh",0,24,478118,834941,0.00047394563692805,-2.87437197966382e-05,"D",1,-2.87437197966382e-05,0,0.00287437197966382
"account percent",60,70,478058,834895,0.0265981167752463,4.1656183940555e-05,"R",1,4.1656183940555e-05,0.0125492033347416,0.00838358494068614
"account provide",11,24,478107,834941,0.662071617205122,-5.73684701627852e-06,"D",0,-5.73684701627852e-06,0.00230068727803597,0.00287437197966382
"account remain",6,24,478112,834941,0.0932605849733469,-1.61945164618966e-05,"D",0,-1.61945164618966e-05,0.00125492033347416,0.00287437197966382
"accountability act",24,79,478094,834886,0.00774444974278277,-4.44179309916342e-05,"D",1,-4.44179309916342e-05,0.00501968133389665,0.00946147443306007
"accountability office",103,111,478015,834854,0.000479388046688954,8.24882865202798e-05,"R",1,8.24882865202798e-05,0.0215427990579731,0.0132939704059452
"accountability system",4,21,478114,834944,0.0557213104079154,-1.6784619265564e-05,"D",0,-1.6784619265564e-05,0.000836613555649442,0.00251507548220584
"accrual housing",0,48,478118,834917,3.52815613669955e-07,-5.74874395932764e-05,"D",1,-5.74874395932764e-05,0,0.00574874395932764
"accurate contribution",7,21,478111,834944,0.289787675641653,-1.05100175981932e-05,"D",0,-1.05100175981932e-05,0.00146407372238652,0.00251507548220584
"achieve distinction",90,2,478028,834963,6.965592719335e-34,0.000185842740038071,"R",1,0.000185842740038071,0.0188238050021125,0.000239530998305318
"achieve goal",62,102,478056,834863,0.772109997564066,7.51429198995126e-06,"R",0,7.51429198995126e-06,0.0129675101125664,0.0122160809135712
"achieve objective",23,26,478095,834939,0.166669502550268,1.69662496701516e-05,"R",0,1.69662496701516e-05,0.00481052794498429,0.00311390297796914
"achieve rank",29,9,478089,834956,7.6697228138463e-07,4.98755878608452e-05,"R",1,4.98755878608452e-05,0.00606544827845846,0.00107788949237393
"achievement attain",0,95,478118,834870,3.61578744267178e-13,-0.000113777224195026,"D",1,-0.000113777224195026,0,0.0113777224195026
"achievement award",37,69,478081,834896,0.824814221345467,-5.25144051776137e-06,"D",0,-5.25144051776137e-06,0.00773867538975734,0.00826381944153348
"achievement gap",6,33,478112,834932,0.0103874166336199,-2.69734113856359e-05,"D",1,-2.69734113856359e-05,0.00125492033347416,0.00395226147203775
"achievement medal",52,29,478066,834936,3.74045063721279e-07,7.40277674801563e-05,"R",1,7.40277674801563e-05,0.0108759762234427,0.00347319947542711
"acknowledge honor",30,8,478088,834957,1.28673631426184e-07,5.31647767414954e-05,"R",1,5.31647767414954e-05,0.00627460166737082,0.000958123993221273
"acquire construction",0,32,478118,834933,4.18544468832104e-05,-3.83249597288509e-05,"D",1,-3.83249597288509e-05,0,0.00383249597288509
"acquire land",3,26,478115,834939,0.00644236819388866,-2.48644281123205e-05,"D",1,-2.48644281123205e-05,0.000627460166737082,0.00311390297796914
"acquire real",6,23,478112,834942,0.117204533922778,-1.499686147037e-05,"D",0,-1.499686147037e-05,0.00125492033347416,0.00275460648051116
"acquisition construction",12,22,478106,834943,0.999999999994491,-1.25000314410174e-06,"D",0,-1.25000314410174e-06,0.00250984066694833,0.0026348409813585
"acquisition policy",49,40,478069,834925,0.000392092053748755,5.4578960905993e-05,"R",1,5.4578960905993e-05,0.0102485160567057,0.00479061996610636
"acquisition program",33,58,478085,834907,0.999999999998426,-4.43371167463297e-07,"D",0,-4.43371167463297e-07,0.0069020618341079,0.00694639895085423
"acquisition regulation",70,47,478048,834918,2.36366679645427e-07,9.01175876369026e-05,"R",1,9.01175876369026e-05,0.0146407372238652,0.00562897846017498
"acquisition strategy",9,24,478109,834941,0.362719084070336,-9.91991479452573e-06,"D",0,-9.91991479452573e-06,0.00188238050021125,0.00287437197966382
"acquisition technology",9,40,478109,834925,0.0132629513547115,-2.90823946589512e-05,"D",1,-2.90823946589512e-05,0.00188238050021125,0.00479061996610636
"acquisition workforce",22,12,478096,834953,0.00115203130115319,3.16418856624002e-05,"R",1,3.16418856624002e-05,0.00460137455607193,0.00143718598983191
"acre land",25,52,478093,834913,0.547907214033018,-9.98971233129259e-06,"D",0,-9.98971233129259e-06,0.00522883472280901,0.00622780595593827
"act aa",5,35,478113,834930,0.00289500118548072,-3.14602552578126e-05,"D",1,-3.14602552578126e-05,0.0010457669445618,0.00419179247034307
"act act",42,89,478076,834876,0.345092307675329,-1.87468709026752e-05,"D",0,-1.87468709026752e-05,0.00878444233431914,0.0106591294245867
"act add",34,77,478084,834888,0.243112157324091,-2.11072821173449e-05,"D",0,-2.11072821173449e-05,0.00711121522302026,0.00922194343475475
"act addition",5,27,478113,834938,0.0238166244074461,-2.18790153255999e-05,"D",1,-2.18790153255999e-05,0.0010457669445618,0.0032336684771218
"act additional",2,29,478116,834936,0.00103765233424046,-3.05489269760239e-05,"D",1,-3.05489269760239e-05,0.000418306777824721,0.00347319947542711
"act address",22,43,478096,834922,0.763407234532356,-5.48541907492409e-06,"D",0,-5.48541907492409e-06,0.00460137455607193,0.00514991646356434
"act adjustment",1,21,478117,834944,0.00391755157548851,-2.30592209329348e-05,"D",1,-2.30592209329348e-05,0.000209153388912361,0.00251507548220584
"act administrator",26,35,478092,834930,0.381507951390028,1.24619564137831e-05,"R",0,1.24619564137831e-05,0.00543798811172137,0.00419179247034307
"act affect",2,22,478116,834943,0.00812982820339752,-2.21653420353378e-05,"D",1,-2.21653420353378e-05,0.000418306777824721,0.0026348409813585
"act agency",21,28,478097,834937,0.42999625782325,1.03878719088512e-05,"R",0,1.03878719088512e-05,0.00439222116715957,0.00335343397627445
"act amend",337,906,477781,834059,1.13796115521879e-11,-0.000380228501688436,"D",1,-0.000380228501688436,0.0704846920634655,0.108507542232309
"act amendment",50,146,478068,834819,0.00194931035292747,-7.0280934306702e-05,"D",1,-7.0280934306702e-05,0.010457669445618,0.0174857628762882
"act american",19,31,478099,834934,0.931125105517308,2.61183915602418e-06,"R",0,2.61183915602418e-06,0.00397391438933485,0.00371273047373243
"act amount",20,52,478098,834913,0.161473220574874,-2.04473817769106e-05,"D",0,-2.04473817769106e-05,0.00418306777824721,0.00622780595593827
"act app",8,53,478110,834912,0.000263793491638232,-4.67434434379205e-05,"D",1,-4.67434434379205e-05,0.00167322711129888,0.00634757145509093
"act applicable",7,42,478111,834923,0.00213760600247838,-3.56607724202516e-05,"D",1,-3.56607724202516e-05,0.00146407372238652,0.00503015096441168
"act application",6,39,478112,834926,0.00219459511558318,-3.41593413347954e-05,"D",1,-3.41593413347954e-05,0.00125492033347416,0.0046708544669537
"act apply",40,156,478078,834809,4.5967243782156e-06,-0.000103172823113204,"D",1,-0.000103172823113204,0.00836613555649442,0.0186834178678148
"act appropriation",22,15,478096,834950,0.00609319661148172,2.80489206878205e-05,"R",1,2.80489206878205e-05,0.00460137455607193,0.00179648248728989
"act attorney",6,24,478112,834941,0.0932605849733469,-1.61945164618966e-05,"D",0,-1.61945164618966e-05,0.00125492033347416,0.00287437197966382
"act authority",6,23,478112,834942,0.117204533922778,-1.499686147037e-05,"D",0,-1.499686147037e-05,0.00125492033347416,0.00275460648051116
"act authorize",39,84,478079,834881,0.321841002451944,-1.9033197612413e-05,"D",0,-1.9033197612413e-05,0.00815698216758206,0.0100603019288234
"act ba",0,26,478118,834939,0.000257418185104556,-3.11390297796914e-05,"D",1,-3.11390297796914e-05,0,0.00311390297796914
"act behalf",10,25,478108,834940,0.430496725679859,-9.02603589692872e-06,"D",0,-9.02603589692872e-06,0.00209153388912361,0.00299413747881648
"act bill",94,192,478024,834773,0.236211346178862,-3.33455727954866e-05,"D",0,-3.33455727954866e-05,0.0196604185577619,0.0229949758373105
"act bipartisan",23,34,478095,834931,0.630931988007558,7.38500973793883e-06,"R",0,7.38500973793883e-06,0.00481052794498429,0.00407202697119041
"act board",0,28,478118,834937,0.000140187629586061,-3.35343397627445e-05,"D",1,-3.35343397627445e-05,0,0.00335343397627445
"act business",21,79,478097,834886,0.00194093658250818,-5.0692532659005e-05,"D",1,-5.0692532659005e-05,0.00439222116715957,0.00946147443306007
"act certification",55,44,478063,834921,0.000116089889561064,6.23375442746283e-05,"R",1,6.23375442746283e-05,0.0115034363901798,0.005269681962717
"act chief",8,31,478110,834934,0.0578164421323979,-2.03950336243355e-05,"D",0,-2.03950336243355e-05,0.00167322711129888,0.00371273047373243
"act cite",63,248,478055,834717,4.56227643090659e-09,-0.000165251802883807,"D",1,-0.000165251802883807,0.0131766635014787,0.0297018437898595
"act clarify",23,54,478095,834911,0.282561852251774,-1.6568090092593e-05,"D",0,-1.6568090092593e-05,0.00481052794498429,0.00646733695424359
"act colleague",13,34,478105,834931,0.27332616707734,-1.35303291532972e-05,"D",0,-1.35303291532972e-05,0.00271899405586069,0.00407202697119041
"act commission",5,32,478113,834933,0.00645244704381989,-2.78672902832329e-05,"D",1,-2.78672902832329e-05,0.0010457669445618,0.00383249597288509
"act committee",123,93,477995,834872,5.60500216656569e-10,0.000145876754150231,"R",1,0.000145876754150231,0.0257258668362203,0.0111381914211973
"act comptroller",14,44,478104,834921,0.0708839585525969,-2.34153451794395e-05,"D",0,-2.34153451794395e-05,0.00292814744477305,0.005269681962717
"act congress",53,74,478065,834891,0.248537982784114,2.22248267505834e-05,"R",0,2.22248267505834e-05,0.0110851296123551,0.00886264693729677
"act construe",8,39,478110,834926,0.00902366861941687,-2.99762735565482e-05,"D",1,-2.99762735565482e-05,0.00167322711129888,0.0046708544669537
"act continue",11,51,478107,834914,0.00346423464875779,-3.80735317874965e-05,"D",1,-3.80735317874965e-05,0.00230068727803597,0.00610804045678561
"act create",29,65,478089,834900,0.310912788484861,-1.71930916646438e-05,"D",0,-1.71930916646438e-05,0.00606544827845846,0.00778475744492284
"act date",19,49,478099,834916,0.184945799471803,-1.89459506914544e-05,"D",0,-1.89459506914544e-05,0.00397391438933485,0.0058685094584803
"act day",13,33,478105,834932,0.31939420136223,-1.23326741617706e-05,"D",0,-1.23326741617706e-05,0.00271899405586069,0.00395226147203775
